Brand,Annual Leave & Public Holidays,"Anti-bribery, Corruption & Presentation of False Information",Biodiversity & Conservation ,Child Labour ,Community Engagement,"Contracts & Terms of Employment (including notice period, dismissal & disciplinary action)",Discrimination,Energy & Greenhouse Gas Emissions,Equal Pay ,Forced & Bonded Labour,Foreign & Migrant Labour ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Homeworking,Living Conditions/Dormitories,Manufacturing Restricted Substances List (MRSL),Maternity Rights & Parental Leave ,Overtime Pay,Subcontracting,"Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Facility),Waste & Recycling (Product/Textiles) ,Water Effluents & Treatment,Water Consumption,Working Hours & Rest Breaks,"Does the company state that its supplier/vendor policies are based on credible international standards such as the Ethical Trading Initiative Base Code, relevant UN and ILO Conventions, OECD Guidelines for Multinational Enterprises or the UN Global Compact",Does the company publish whether the policy (or policies) is part of the purchase agreement or if a supplier signature is required,Publishes translations of the supplier/vendor policies/CoC in local languages of production/sourcing countries,Total
Anthropologie,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.5,1,0,4
Aritzia,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.5
Armani,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.25
Asda,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.5,1,1,7
ASICS,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7
ASOS,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.5
Balenciaga,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,0,1,7
Bally,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,1,1,5.25
Banana Republic,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.25
BCBGMAXAZRIA,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.75
Beanpole,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Belle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.25
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big W,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,1,1,7.75
Billabong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,0,4.75
Bonprix,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.5,1,1,6.25
boohoo,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0,1,0,5.25
Bosideng,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
Bottega Veneta,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,0,1,7
Brooks Sport,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.5,1,0,5.75
Brunello Cucinelli,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Buckle,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0,1,0,5
Burberry,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.75
Burlington,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,1,0,4.75
C&A,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.5
Calvin Klein,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7.5
Calzedonia,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,1,0,3.75
Canada Goose,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.75
Carhartt,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,0,4
Carolina Herrera,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1,1,6.25
CAROLL,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6
Carrefour ,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.5,1,0,6.5
Carter's,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.5,1,0,6.5
CELINE,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7.5
celio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champion,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7
Chanel,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.5,1,0,3.75
Chico's,0.25,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0,0,0.5,1,0,4.75
Chloé,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6.25
Claire's,0,0.25,0.25,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0,1,0,3.75
Clarks,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.5,1,0,7.25
COACH,0,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,1,1,5
Cole Haan,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,0,5
Columbia Sportswear,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.5,1,0,6.25
Converse,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0,1,8
Cortefiel,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0.5,1,1,5.25
Costco,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.5,1,0,6.5
Cotton On,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,1,0,3.75
Decathlon,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.5,1,0,6.5
Deichmann,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0.5,0,0,4.75
Desigual,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6
Dick's Sporting Goods,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0.5,1,0,5.75
Diesel,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,1,0,6.25
Dillard's,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0.25,0.5,0,0,3.25
Dior,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7.5
Disney,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,1,5.25
DKNY,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.75
Dolce & Gabbana,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1.75
Dr. Martens,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6.75
Dressmann,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.5
DSW,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0,1,0,4.25
Eddie Bauer,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,1,0,3.25
El Corte Inglés,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,1,1,6.25
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,1,1,6.5
Esprit,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,9
Express,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0,1,0,4
Falabella,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,1,0,4.25
Famous Footwear,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0,4.25
Fanatics,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,1,5.5
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7.5
Fila,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,1,0,4
Fjällräven,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.75
Foot Locker,0,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,1,0,4.25
Foschini,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,2.75
Fossil,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,1,0,4.5
Free people,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.5,1,0,4
Fruit of the Loom,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0,1,6.25
Furla,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.5,1,1,5.5
Gap,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.25
Gerry Weber,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0.5,1,0,4.25
Gildan,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.25
G-Star RAW,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.75
GU,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8
Gucci,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8
GUESS,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0.25,0.25,0,1,0,4.75
H&M,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,8
Hanes,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7
Heilan Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helly Hansen,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.5,1,0,5.75
HEMA,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0.5,1,0,4.5
Hermès,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.25
Hollister Co.,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.5,1,0,7
Hudson's Bay,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,0,4.5
Hugo Boss,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7.25
Intimissimi,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,1,0,3.75
Ito-Yokado,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0.5,1,1,7
Jack & Jones,0,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6
JD Sports,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.5,1,0,5.5
Jessica Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jil Sander,0,0,0.25,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,2.75
Jockey,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0,0,2.75
Joe Fresh,0,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,1,0,4.75
John Lewis,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,0,4.75
Jordan,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0,1,8
Justfab,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.5,1,0,3.5
Kate Spade,0,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,1,1,5
Kathmandu,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,1,1,6.5
Kaufland,0,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0.25,0.5,0,0,3.75
Kiabi,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,0,2.75
KiK,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0.5,1,0,4.75
Kmart ,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,1,0,5.75
Kmart Australia,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8
Kohl's,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,0,4.5
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,1,6.5
