Brand,Animal Welfare,Annual Leave & Public Holidays,"Anti-bribery, Corruption & Presentation of False Information",Biodiversity & Conservation ,Child Labour ,Community Engagement,"Contracts & Terms of Employment (including notice period, dismissal & disciplinary action)",Discrimination ,Diversity & Inclusion ,Energy & Greenhouse Gas Emissions,Equal Pay ,Forced & Bonded Labour,Foreign & Migrant Labour ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Homeworking,Living Conditions/Dormitories,Manufacturing Restricted Substances List (MRSL),Maternity Rights & Parental Leave ,Mental Health & Wellbeing,Overtime Pay,Restricted Substances List (RSL),Subcontracting,"Wages & Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Facility/Retail),Waste & Recycling (Product/Textiles) ,Water Effluents & Treatment,Water Consumption,Working Hours & Rest Breaks,Total
Aritzia,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,9.5
Armani,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,8
Asda,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,8
ASICS,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,10.5
ASOS,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,13
Balenciaga,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12.5
Bally,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4
Banana Republic,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
BCBGMAXAZRIA,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beanpole,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5
Belle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big W,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,10.5
Billabong,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Bloomingdale's,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,7
Bonprix,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,8.5
boohoo,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,6.5
Bosideng,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,5
Bottega Veneta,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12.5
Brooks Sport,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,8.5
Brunello Cucinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
Buckle,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3
Burberry,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,12
Burlington,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,7
C&A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15
Calvin Klein,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5
Calzedonia,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,5
Canada Goose,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0,0,3.5
Carhartt,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,2.5
Carolina Herrera,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,6
CAROLL,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,5
Carrefour ,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,7.5
Carter's,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,6.5
CELINE,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
celio,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Champion,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,9
Chanel,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,7
Chico's,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,5.5
Chloé,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,6.5
Claire's,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Clarks,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,10
COACH,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0,7
Cole Haan,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Columbia Sportswear,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0,8
Converse,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
Cortefiel,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,7.5
Costco,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0,0,5
Cotton On,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,5
Decathlon,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,9
Deichmann,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Desigual,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,6
Dick's Sporting Goods,0.5,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,9
Diesel,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,4
Dillard's,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Dior,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Disney,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,6
DKNY,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Dolce & Gabbana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Dr. Martens,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0,0,6.5
Dressmann,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12.5
DSW,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,4
Eddie Bauer,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
El Corte Inglés,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,11
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Esprit,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Express,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Falabella,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0,0.5,0,6.5
Famous Footwear,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,3.5
Fanatics,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fashion Nova,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Fendi,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Fila,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Fjällräven,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,9
Foot Locker,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2
Foschini,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0,5.5
Fossil,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,6.5
Free people,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,5
Fruit of the Loom,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,9.5
Furla,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,3
Gap,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
Gerry Weber,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Gildan,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,13
G-Star RAW,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
GU,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Gucci,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12.5
GUESS,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,6
H&M,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12.5
Hanes,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,9
Heilan Home,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Helly Hansen,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,6
HEMA,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,5.5
Hermès,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15
Hollister Co.,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,6.5
Hudson's Bay,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,6
Hugo Boss,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0.5,9.5
Intimissimi,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,5
Ito-Yokado,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.5,7
Jack & Jones,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,9
JD Sports,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0,7
Jessica Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jil Sander,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,4
Jockey,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Joe Fresh,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,5.5
John Lewis,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,9.5
Jordan,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
Justfab,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5
Kate Spade,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0,7
Kathmandu,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,10
Kaufland,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,3
Kiabi,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,6.5
KiK,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,8.5
Kmart ,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Kmart Australia,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Kohl's,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,8.5
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
La Redoute,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,5
Lacoste,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,7.5
Lands' End,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0.5,9.5
LC Waikiki,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,3
Levi Strauss & Co,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5
Lidl,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,7.5
Lindex,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,10.5
Li-Ning,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0,7
