Brand,Animal Welfare,Annual Leave & Public Holidays,"Anti-bribery, Corruption, & Presentation of False Information",Biodiversity & Conservation ,Community Engagement,Discrimination,Diversity & Inclusion ,Energy & Greenhouse Gas Emissions,Equal Pay ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Maternity Rights & Parental Leave ,Mental Health & Wellbeing,Restricted Substance List (RSL),"Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Retail),Waste & Recycling (Product/Textiles) ,Water Consumption,Working Hours & Rest Breaks,Total
ASICS,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,4.75
ASOS,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Balenciaga,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,4.5
Bally,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,3.25
Banana Republic,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,1.75
Belle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,4.25
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big W,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,3.75
Billabong,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Bloomingdale's,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,3.25
Bonprix,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,4.5
boohoo,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0,2.5
Bosideng,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,2.75
Bottega Veneta,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,4.5
Brooks Sport,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0,2.75
Brunello Cucinelli,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.75
Buckle,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,1.75
Burberry,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Burlington,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0.25,0.25,2.75
C&A,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Calvin Klein,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.5
Calzedonia,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,3.5
Canada Goose,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,2.25
Carhartt,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0,0,0.25,0,0,0,0.25,2
Carolina Herrera,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,3.25
CAROLL,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,3.5
Carrefour ,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,4.25
Carter's,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,3.25
CELINE,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
celio,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Champion,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,3.75
Chanel,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,3.75
Chico's,0.25,0,0,0,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.25,2.75
Chloé,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,3.75
Claire's,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,1.5
Clarks,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0,3.5
COACH,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,4
Cole Haan,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5
Columbia Sportswear,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,3.5
Converse,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.5
Cortefiel,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,3.75
Costco,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Cotton On,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0,1.75
Decathlon,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,3.5
Deichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
Desigual,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,4
Dick's Sporting Goods,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,4
Diesel,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0,3.75
Dillard's,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0,1.5
Dior,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
Disney,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,3.5
DKNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
Dolce & Gabbana,0,0,0.25,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0,1.75
Dr. Martens,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,2.5
Dressmann,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,4
DSW,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,3.25
Eddie Bauer,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,1
El Corte Inglés,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,4.5
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0,0.25,3.5
Esprit,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,3.75
Express,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0,0,0,2.25
Falabella,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0,3.5
Famous Footwear,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,2.25
Fanatics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
Fila,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0.25,2.25
Fjällräven,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Foot Locker,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,2
Foschini,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0,0,0.25,0,0.25,0.25,0,0.25,0,2.5
Fossil,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0,3.25
Free people,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,2.75
Fruit of the Loom,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,3.75
Furla,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0,3.25
Gap,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Gerry Weber,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Gildan,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
G-Star RAW,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,3
GU,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Gucci,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
GUESS,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,4
H&M,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,4.25
Hanes,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,3.75
Heilan Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
Helly Hansen,0.25,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0.25,0.25,0.25,0,2
HEMA,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0,0,2.75
Hermès,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,4.5
Hollister Co.,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0.25,0.25,3.25
Hudson's Bay,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,2.5
Hugo Boss,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
Intimissimi,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,3.5
Ito-Yokado,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0,0.25,0.25,2.5
Jack & Jones,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,3
JD Sports,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,3.5
Jessica Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jil Sander,0,0.25,0,0,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,1.5
Jockey,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25
Joe Fresh,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0,0,2.25
John Lewis,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0,0,3.5
Jordan,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.5
Justfab,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1.25
Kate Spade,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,4
Kathmandu,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,4.25
Kaufland,0.25,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0,0,1.5
Kiabi,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0,2.75
KiK,0,0.25,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,0,0.25,2.5
Kmart ,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,2.75
Kmart Australia,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,4.25
Kohl's,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,3.75
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1
La Redoute,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0,2.25
Lacoste,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,3.5
Lands' End,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0.25,3.25
LC Waikiki,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Levi Strauss & Co,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.25
Lidl,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,4.25
Lindex,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,3.75
Li-Ning,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,3.25
LL Bean,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,1
Longchamp,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,1
Louis Vuitton,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
Lululemon,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,4
Macy's,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,3.25
Mammut,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,2.75
Mango,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,3.75
Marc Jacobs,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
Marks & Spencer,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,0,0.25,3.5
Marni,0,0,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,2
Massimo Dutti,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,4.25
Matalan,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,3.5
Max Mara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrell,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0.25,0,3
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,3
Miu Miu,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0.25,3.25
Mizuno,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.25
Moncler,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,4.5
Monoprix,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,4
Morrisons,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,2.75
MRP,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0.25,0.25,3.25
Muji,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,4.5
New Balance,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,3.75
New Look,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,4.25
New Yorker,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5
Next,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,3.75
Nike,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.5
Nine West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0,3.5
Old Navy,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Otto,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0,0.25,3.25
OVS,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
Paris,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0,3
Patagonia,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,3.25
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimkie,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,4.75
Prada,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0.25,3.25
PrettyLittleThing,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0,2.5
Primark,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,3.25
Prisma,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,4
Pull&Bear,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,4.25
Puma,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Quiksilver,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
